이름,이메일,성별,나이,생년월일,주소,관심등록,관심등록일자,시청일자,재생시간,영상길이,카테고리,장르,제목,평점
장길산,7****@naver.com,남,80세,1930년 03월,충청북도 평창군,T,2018-09-22,2020-06-28,81.68,143.83,드라마,"멜로/로맨스,드라마",수상한 종업원,5.0
황진이,l*******@daum.net,여,70세,1950년 04월,강원도 보령시,T,2018-10-11,2018-03-26,27.47,119.76,영화,"코미디,드라마",굿모닝 프레지던트,1.2
한석봉,i*****@hotmail.com,남,70세,1940년 07월,충청북도 여주시,T,2017-08-30,2018-09-28,131.28,169.09,영화,"미스터리,스릴러",비정한 도시 (미개봉),3.5
홍길동,e*************@gmail.com,남,80세,1930년 01월,전라북도 연천군,T,2020-12-01,2020-03-11,167.79,168.47,드라마,"범죄,액션",한길수,1.2
장길산,m*********@gmail.com,남,60세,1950년 08월,울산광역시 강북구,T,2020-02-04,2020-05-31,8.44,164.5,드라마,드라마,해무(海霧),2.5
임꺽정,n*****@naver.com,남,70세,1950년 05월,부산광역시 양천구,T,2021-08-25,2017-09-09,93.63,127.53,영화,드라마,몸도 주고 마음도 주고 무삭제 ,1.5
장길산,y*************@gmail.com,남,70세,1940년 07월,서울특별시 용산구,T,2018-07-26,2020-09-23,128.7,151.91,영화,성인물(에로),못말리는 사촌동생,0.5
홍길동,u*******@hotmail.com,남,60세,1950년 07월,전라북도 용인시,T,2021-04-11,2021-06-03,71.18,133.21,영화,드라마,시선,2.0
이몽룡,7*****@daum.net,남,70세,1940년 05월,충청북도 인제군,F,,2020-09-21,155.77,178.5,영화,"멜로/로맨스,드라마",전망좋은해변-두여자,1.2
황진이,q******@hotmail.com,여,30세,1990년 08월,서울특별시 북구,T,2019-10-10,2018-04-08,21.15,139.83,드라마,다큐멘터리,굿바이 홈런,1.2
임꺽정,j****************@naver.com,남,70세,1940년 01월,울산광역시 구로구,T,2021-02-05,2017-10-29,15.84,101.05,영화,"멜로/로맨스,코미디","연애의 발동 : 상해 여자, 부산 남자",2.5
성춘향,h*******@gmail.com,여,50세,1970년 12월,충청북도 군포시,F,,2019-01-31,68.85,101.87,드라마,"미스터리,공포(호러)",소녀괴담,1.5
홍길동,t*************@hotmail.com,남,70세,1940년 12월,전라남도 수원시,F,,2019-03-08,86.67,110.3,드라마,"코미디,액션,범죄",유감스러운 도시,5.0
성춘향,y****************@naver.com,여,50세,1970년 01월,광주광역시 남구,F,,2021-10-28,150.49,153.76,드라마,"드라마,멜로/로맨스",천박한누나 무삭제판,4.0
신사임당,o*******************@naver.com,여,70세,1950년 06월,경상남도 고양시,T,2019-08-31,2020-02-24,61.27,130.39,드라마,멜로/로맨스,B형물많고화끈한처제,2.5
이몽룡,_********@gmail.com,남,40세,1980년 02월,광주광역시 중구,T,2021-04-28,2018-06-20,42.22,102.38,드라마,멜로/로맨스,착한 딸의 속사정,2.5
이몽룡,z***********@gmail.com,남,80세,1930년 05월,부산광역시 중랑구,F,,2019-03-15,20.06,137.6,영화,다큐멘터리,"의궤, 8일간의 축제 3D",5.0
신사임당,z********@gmail.com,여,80세,1930년 12월,제주특별자치도 용인시,F,,2021-11-02,129.8,140.16,드라마,멜로/로맨스,사촌 누나 무삭제,2.5
황진이,h***************@daum.net,여,70세,1950년 03월,울산광역시 마포구,F,,2019-09-01,77.37,152.23,영화,코미디,전설의 고향,4.0
임꺽정,h***************@gmail.com,남,60세,1950년 11월,전라북도 용인시,T,2017-07-18,2019-05-09,117.2,143.12,드라마,멜로/로맨스,막내 형수 2 - 무삭제판,1.5
임꺽정,z******************@daum.net,남,80세,1930년 10월,충청남도 수원시,F,,2021-02-06,66.32,142.94,드라마,드라마,어린 왕자,5.0
임꺽정,r************@daum.net,남,40세,1970년 08월,강원도 군포시,F,,2020-05-01,70.87,121.56,드라마,"공포(호러),스릴러",기기괴괴 성형수,5.0
허난설헌,x******************@daum.net,여,80세,1930년 09월,전라남도 당진시,F,,2017-06-09,38.81,110.89,영화,"스릴러,드라마,멜로/로맨스",착한아내,1.0
허난설헌,a*****@naver.com,여,10세,2010년 01월,경상북도 증평군,F,,2021-09-03,125.13,126.01,영화,성인물(에로),고추명가 시월드,2.0
장길산,m*********@naver.com,남,50세,1970년 06월,부산광역시 마포구,F,,2020-11-01,24.75,114.56,드라마,멜로/로맨스,두 개의 연애,4.5
장희빈,5**********@daum.net,여,30세,1980년 11월,울산광역시 성동구,T,2019-01-25,2017-05-03,87.37,119.57,드라마,멜로/로맨스,가슴 큰 여동생,1.0
장희빈,w**************@naver.com,여,60세,1950년 11월,전라북도 제천시,F,,2018-10-20,68.92,168.82,드라마,"멜로/로맨스,드라마",일반인 초대녀,1.2
이몽룡,l***********@hotmail.com,남,30세,1990년 12월,울산광역시 양천구,F,,2021-12-03,65.38,147.99,드라마,코미디,극한직업,1.0
한석봉,7**************@daum.net,남,60세,1950년 02월,부산광역시 양천구,T,2019-06-01,2019-08-22,60.33,98.54,영화,다큐멘터리,프랑스인 김명실,4.5
이몽룡,n******************@daum.net,남,20세,1990년 05월,충청북도 용인시,T,2020-12-28,2017-07-14,46.48,129.43,드라마,멜로/로맨스,새 엄마의 선물 떡 - 무삭제판,2.0
황진이,2****@gmail.com,여,10세,2000년 10월,전라북도 화천군,T,2020-10-11,2020-10-25,43.31,140.44,드라마,멜로/로맨스,비뇨기과 여의사들,2.0
홍길동,g***************@gmail.com,남,60세,1960년 01월,전라북도 아산시,F,,2020-06-04,9.06,172.72,드라마,사극,광대들: 풍문조작단,2.5
장희빈,q*****************@hotmail.com,여,50세,1970년 03월,서울특별시 광진구,F,,2020-07-19,45.73,96.3,드라마,"드라마,가족",잔칫날,4.5
신사임당,_****@gmail.com,여,10세,2000년 12월,제주특별자치도 용인시,T,2019-12-14,2017-06-19,133.75,173.63,드라마,멜로/로맨스,맛있는 세자매-무삭제,5.0
장희빈,f****************@gmail.com,여,20세,2000년 02월,울산광역시 영등포구,T,2017-07-18,2019-02-02,46.13,96.65,드라마,멜로/로맨스,섹스 소녀 5,0.5
성춘향,k***************@gmail.com,여,70세,1940년 02월,대구광역시 성북구,T,2019-05-06,2020-09-06,33.82,134.68,영화,공포(호러),혼 : 공포의 시작,1.5
한석봉,e**************@daum.net,남,70세,1950년 12월,충청남도 홍성군,T,2017-06-04,2021-11-04,19.0,102.99,영화,멜로/로맨스,엄마 친구 : 여자를 배우다 무삭제판,1.5
이몽룡,x*************@hotmail.com,남,20세,1990년 06월,전라북도 서천군,T,2021-07-16,2021-09-04,46.28,120.18,영화,드라마,여행,4.5
한석봉,6******@gmail.com,남,40세,1970년 02월,울산광역시 북구,T,2019-06-02,2018-08-05,53.96,116.81,영화,"멜로/로맨스,액션",형님아내3(아랫집 부인),0.5
황진이,f********@daum.net,여,10세,2010년 10월,전라북도 청주시,T,2020-12-03,2019-11-22,14.84,148.21,영화,기타,네가 내가 되었으면 좋겠다,1.5
이몽룡,o**********@naver.com,남,40세,1970년 03월,전라남도 부천시,T,2018-07-27,2019-03-24,123.56,156.02,드라마,멜로/로맨스,잠 못 이루는 섹스,5.0
허난설헌,b*************@naver.com,여,40세,1970년 05월,세종특별자치시 은평구,T,2018-01-28,2021-11-21,66.33,112.33,영화,코미디,미스체인지,5.0
황진이,r***************@naver.com,여,10세,2000년 10월,전라북도 횡성군,T,2021-06-03,2020-10-01,96.49,148.69,영화,다큐멘터리,기생 : 꽃의 고백,3.5
홍길동,n*********@daum.net,남,60세,1950년 02월,인천광역시 강동구,T,2020-06-06,2017-02-05,131.5,177.45,영화,드라마,소녀탈출,1.0
장희빈,l******@gmail.com,여,40세,1970년 08월,충청북도 오산시,F,,2017-12-02,120.88,152.09,영화,드라마,환절기,0.5
허난설헌,j****************@naver.com,여,30세,1990년 03월,전라남도 연천군,F,,2017-10-03,33.03,108.23,영화,"액션,드라마",R2B: 리턴투베이스,4.5
성춘향,q*****@naver.com,여,60세,1950년 05월,부산광역시 중구,T,2018-09-18,2017-04-20,23.83,136.81,드라마,다큐멘터리,올드마린보이,2.0
장희빈,o******************@daum.net,여,40세,1980년 10월,제주특별자치도 춘천시,T,2018-03-21,2018-11-17,68.36,161.91,영화,"공포(호러),미스터리",속닥속닥,2.0
황진이,v*****@hotmail.com,여,30세,1990년 10월,충청남도 괴산군,F,,2018-06-26,20.22,92.43,영화,멜로/로맨스,친구의젊은엄마,5.0
한석봉,w***********@daum.net,남,20세,1990년 10월,세종특별자치시 도봉구,F,,2019-08-24,23.82,125.45,영화,코미디,"생, 날선생",2.5
이몽룡,1****@hotmail.com,남,50세,1960년 01월,부산광역시 광진구,F,,2017-05-16,83.21,166.18,드라마,다큐멘터리,나비와 바다,4.5
성춘향,s*******@gmail.com,여,10세,2010년 12월,대구광역시 노원구,F,,2018-02-20,57.11,170.59,영화,멜로/로맨스,부부교환섹스 2,3.0
이몽룡,v***************@daum.net,남,80세,1930년 02월,전라북도 고양시,F,,2017-09-04,84.39,105.86,드라마,멜로/로맨스,엄마의 연애,3.5
